iter	Passed	Remaining
399	28457	42686
400	28511	42589
401	28567	42495
402	28642	42430
403	28704	42345
404	28761	42254
405	28824	42172
406	28892	42095
407	28959	42020
408	29023	41938
409	29080	41847
410	29148	41771
411	29210	41688
412	29269	41601
413	29330	41516
414	29400	41444
415	29472	41375
416	29533	41290
417	29590	41199
418	29648	41111
419	29722	41045
420	29790	40970
421	29864	40904
422	29972	40884
423	30074	40856
424	30151	40793
425	30212	40708
426	30271	40622
427	30325	40528
428	30381	40437
429	30435	40345
430	30631	40439
431	30731	40405
432	30790	40319
433	30862	40248
434	30916	40156
435	30977	40071
436	31031	39978
437	31088	39889
438	31147	39803
439	31200	39709
440	31260	39624
441	31306	39522
442	31357	39427
443	31412	39336
444	31465	39242
445	31519	39152
446	31572	39058
447	31633	38976
448	31686	38884
449	31737	38790
450	31792	38700
451	31848	38613
452	31900	38520
453	31955	38430
454	32007	38339
455	32062	38249
456	32130	38176
457	32183	38085
458	32233	37992
459	32283	37898
460	32335	37806
461	32385	37713
462	32439	37623
463	32491	37533
464	32543	37442
465	32598	37355
466	32651	37265
467	32703	37175
468	32752	37082
469	32804	36992
470	32855	36901
471	32904	36808
472	32956	36719
473	33007	36628
474	33060	36541
475	33114	36454
476	33167	36366
477	33221	36279
478	33272	36189
479	33323	36100
480	33382	36019
481	33437	35934
482	33493	35850
483	33545	35763
484	33603	35681
485	33655	35595
486	33713	35513
487	33765	35425
488	33819	35340
489	33874	35256
490	33932	35176
491	33984	35090
492	34037	35004
493	34095	34923
494	34149	34839
495	34203	34755
496	34255	34669
497	34305	34581
498	34359	34497
499	34411	34411
500	34467	34329
501	34520	34245
502	34571	34159
503	34627	34078
504	34675	33988
505	34728	33905
506	34783	33823
507	34836	33739
508	34892	33658
509	34945	33574
510	35013	33505
511	35073	33429
512	35139	33358
513	35205	33288
514	35267	33213
515	35331	33140
516	35395	33067
517	35467	33002
518	35521	32920
519	35579	32842
520	35637	32764
521	35694	32685
522	35752	32608
523	35806	32526
524	35865	32449
525	35927	32375
526	35992	32304
527	36049	32226
528	36109	32150
529	36161	32067
530	36213	31985
531	36265	31902
532	36316	31819
533	36369	31737
534	36419	31654
535	36480	31580
536	36544	31508
537	36616	31444
538	36675	31367
539	36727	31286
540	36783	31208
541	36835	31126
542	36901	31057
543	36961	30982
544	37023	30909
545	37086	30837
546	37144	30761
547	37194	30678
548	37249	30599
549	37313	30528
550	37367	30450
551	37424	30373
552	37476	30293
553	37530	30214
554	37589	30139
555	37644	30061
556	37698	29982
557	37749	29901
558	37801	29822
559	37856	29744
560	37917	29671
561	37971	29593
562	38028	29517
563	38085	29442
564	38141	29365
565	38195	29287
566	38248	29208
567	38301	29130
568	38351	29050
569	38407	28974
570	38468	28902
571	38534	28833
572	38598	28763
573	38652	28686
574	38710	28612
575	38769	28538
576	38842	28475
577	38910	28408
578	38974	28338
579	39033	28265
580	39096	28194
581	39152	28120
582	39215	28049
583	39272	27974
584	39341	27909
585	39409	27842
586	39482	27778
587	39548	27710
588	39619	27646
589	39688	27580
590	39743	27504
591	39798	27429
592	39851	27351
593	39912	27279
594	39965	27203
595	40019	27127
596	40079	27055
597	40133	26979
598	40185	26902
599	40235	26823
600	40288	26747
601	40339	26669
602	40390	26591
603	40440	26513
604	40493	26437
605	40549	26363
606	40607	26291
607	40660	26215
608	40712	26138
609	40767	26064
610	40819	25987
611	40870	25911
612	40924	25836
613	40976	25760
614	41031	25686
615	41098	25620
616	41150	25544
617	41202	25468
618	41253	25392
619	41308	25317
620	41363	25244
621	41416	25169
622	41470	25095
623	41537	25029
624	41592	24955
625	41641	24878
626	41691	24801
627	41743	24727
628	41798	24653
629	41854	24581
630	41939	24525
631	42012	24462
632	42147	24436
633	42204	24364
634	42262	24292
635	42322	24222
636	42394	24158
637	42463	24093
638	42530	24027
639	42586	23954
640	42652	23888
641	42725	23824
642	42796	23760
643	42858	23691
644	42923	23624
645	42985	23555
646	43039	23481
647	43105	23415
648	43164	23344
649	43293	23311
650	43583	23365
651	43966	23466
652	44133	23452
653	44281	23426
654	44468	23422
655	44677	23428
656	44914	23448
657	45005	23391
658	45347	23464
659	45620	23501
660	45853	23516
661	46024	23498
662	46254	23510
663	46418	23488
664	46619	23485
665	46735	23437
666	46871	23400
667	47022	23370
668	47197	23351
669	47272	23283
670	47353	23218
671	47503	23186
672	47760	23206
673	47888	23162
674	48036	23128
675	48257	23129
676	48376	23080
677	48460	23015
678	48530	22943
679	48603	22872
680	48676	22801
681	48750	22731
682	48821	22659
683	48899	22591
684	48978	22522
685	49055	22453
686	49199	22415
687	49280	22348
688	49353	22277
689	49448	22215
690	49529	22148
691	49600	22076
692	49680	22008
693	49759	21940
694	49831	21868
695	49907	21798
696	49974	21724
697	50041	21651
698	50120	21582
699	50212	21519
700	50314	21460
701	50400	21395
702	50489	21330
703	50579	21266
704	50648	21193
705	50733	21127
706	50826	21063
707	50918	21000
708	51003	20933
709	51086	20866
710	51156	20793
711	51236	20725
712	51331	20662
713	51409	20592
714	51502	20528
715	51583	20460
716	51681	20398
717	51768	20332
718	51847	20263
719	51929	20194
720	51999	20122
721	52083	20054
722	52168	19987
723	52247	19917
724	52316	19844
725	52377	19767
726	52429	19688
727	52485	19609
728	52546	19533
729	52630	19466
730	52706	19395
731	52778	19323
732	52851	19251
733	52926	19180
734	52996	19107
735	53066	19034
736	53143	18964
737	53228	18896
738	53304	18826
739	53379	18754
740	53454	18683
741	53526	18611
742	53605	18542
743	53677	18469
744	53743	18395
745	53807	18320
746	53862	18242
747	53923	18166
748	53980	18089
749	54040	18013
750	54104	17938
751	54160	17861
752	54217	17784
753	54285	17711
754	54360	17640
755	54421	17564
756	54485	17490
757	54546	17414
758	54604	17338
759	54658	17260
760	54719	17185
761	54787	17112
762	54842	17034
763	54899	16958
764	54973	16887
765	55108	16834
766	55215	16773
767	55283	16700
768	55337	16622
769	55405	16549
770	55458	16472
771	55513	16395
772	55571	16319
773	55626	16242
774	55678	16164
775	55729	16086
776	55783	16009
777	55834	15932
778	55889	15855
779	55959	15783
780	56012	15706
781	56072	15631
782	56130	15555
783	56184	15479
784	56246	15405
785	56307	15330
786	56383	15260
787	56452	15187
788	56519	15114
789	56595	15044
790	56669	14973
791	56741	14901
792	56810	14829
793	56880	14757
794	56947	14684
795	57013	14611
796	57092	14541
797	57163	14470
798	57252	14402
799	57323	14330
800	57395	14259
801	57465	14187
802	57533	14114
803	57607	14043
804	57670	13969
805	57742	13898
806	57817	13827
807	57902	13759
808	57990	13691
809	58074	13622
810	58161	13554
811	58272	13491
812	58348	13420
813	58441	13353
814	58515	13282
815	58581	13209
816	58663	13140
817	58744	13070
818	58818	12998
819	58893	12927
820	58968	12856
821	59041	12785
822	59113	12713
823	59177	12639
824	59244	12567
825	59305	12492
826	59365	12418
827	59442	12347
828	59517	12276
829	59590	12205
830	59688	12138
831	59799	12074
832	59872	12003
833	59941	11930
834	60001	11856
835	60063	11782
836	60120	11708
837	60177	11633
838	60232	11558
839	60295	11484
840	60350	11409
841	60414	11336
842	60479	11263
843	60544	11190
844	60610	11117
845	60676	11045
846	60741	10972
847	60820	10901
848	60889	10829
849	60957	10757
850	61025	10684
851	61096	10612
852	61165	10540
853	61235	10468
854	61312	10397
855	61365	10323
856	61429	10250
857	61502	10178
858	61550	10103
859	61601	10028
860	61653	9953
861	61704	9878
862	61762	9804
863	61817	9730
864	61867	9655
865	61921	9581
866	61974	9507
867	62029	9432
868	62079	9358
869	62132	9284
870	62183	9209
871	62238	9135
872	62295	9062
873	62347	8988
874	62409	8915
875	62462	8841
876	62520	8768
877	62574	8694
878	62633	8621
879	62687	8548
880	62744	8475
881	62803	8402
882	62858	8328
883	62917	8256
884	62978	8183
885	63036	8110
886	63091	8037
887	63142	7963
888	63197	7890
889	63249	7817
890	63311	7745
891	63364	7671
892	63419	7598
893	63478	7526
894	63535	7453
895	63590	7381
896	63643	7308
897	63696	7235
898	63751	7162
899	63808	7089
900	63864	7017
901	63919	6944
902	63978	6872
903	64041	6800
904	64101	6728
905	64151	6655
906	64207	6583
907	64261	6511
908	64328	6439
909	64393	6368
910	64464	6297
911	64521	6225
912	64572	6153
913	64634	6081
914	64696	6010
915	64774	5940
916	64830	5867
917	64885	5795
918	64951	5724
919	65005	5652
920	65058	5580
921	65127	5509
922	65180	5437
923	65238	5365
924	65292	5294
925	65345	5221
926	65401	5150
927	65456	5078
928	65513	5006
929	65568	4935
930	65621	4863
931	65674	4791
932	65728	4720
933	65791	4649
934	65847	4577
935	65899	4505
936	65953	4434
937	66008	4363
938	66063	4291
939	66120	4220
940	66174	4149
941	66231	4077
942	66290	4006
943	66346	3935
944	66405	3864
945	66459	3793
946	66515	3722
947	66571	3651
948	66628	3580
949	66683	3509
950	66740	3438
951	66799	3368
952	66858	3297
953	66911	3226
954	66969	3155
955	67028	3084
956	67085	3014
957	67139	2943
958	67190	2872
959	67243	2801
960	67301	2731
961	67356	2660
962	67410	2590
963	67461	2519
964	67515	2448
965	67568	2378
966	67621	2307
967	67678	2237
968	67732	2166
969	67794	2096
970	67846	2026
971	67907	1956
972	67962	1885
973	68016	1815
974	68070	1745
975	68127	1675
976	68182	1605
977	68235	1534
978	68293	1464
979	68349	1394
980	68407	1324
981	68458	1254
982	68514	1184
983	68571	1114
984	68627	1045
985	68680	975
986	68736	905
987	68790	835
988	68848	765
989	68905	696
990	68960	626
991	69013	556
992	69065	486
993	69117	417
994	69174	347
995	69227	278
996	69282	208
997	69337	138
998	69397	69
999	69450	0
